ticket_id,summary,description,status,assignee,created_at,category,priority
TKT-0020,Install antivirus software,Antivirus software missing on workstation.,Open,Bob,2025-04-09T21:04:18.068775,Software,Medium
TKT-0021,Two-factor authentication setup,Help needed to configure 2FA for remote login.,Open,Fernando,2025-04-09T21:04:18.070793,Security,Critical
TKT-0022,Mouse and keyboard unresponsive,Mouse and keyboard are not responding after reboot.,Open,Vivek,2025-04-09T21:04:18.071792,Hardware,Medium
TKT-0023,Laptop overheating frequently,Laptop CPU temperatures exceed 90°C while idle.,Open,Paul,2025-04-09T21:04:18.073779,System Performance,Medium
TKT-0024,Request for admin privileges,User requests temporary admin access to install software.,Open,Alice,2025-04-09T21:04:18.075311,Software,Medium
TKT-0025,Account locked after failed attempts,User account locked due to multiple failed login attempts.,Open,Charlie,2025-04-09T21:04:18.077305,Security,Critical
TKT-0026,Software update failure,Update failed with error code 0x800f0831 on several machines.,Open,Eric,2025-04-09T21:04:18.078809,Software Issue,Critical
TKT-0027,Access request for finance folder,Need read-only access to finance folder for audit purposes.,Open,Conor,2025-04-09T21:04:18.080318,Access Management,High
TKT-0028,Install antivirus software,Antivirus software missing on workstation.,Open,Bob,2025-04-09T21:04:18.082318,Software,Medium
TKT-0029,Password reset required,User forgot their password and is locked out of their account.,Open,Vivek,2025-04-09T21:04:18.083327,Security,Critical
TKT-0030,Account locked after failed attempts,User account locked due to multiple failed login attempts.,Open,Paul,2025-04-09T21:04:18.085850,Security,Critical
TKT-0031,Cannot connect to shared drive,Shared drive not visible under network locations.,In Progress,Fernando,2025-04-09T21:04:18.086849,Access Management,Critical
TKT-0032,Password reset required,User forgot their password and is locked out of their account.,In Progress,Alice,2025-04-09T21:04:18.088850,Monitoring,Medium
TKT-0033,Software update failure,Update failed with error code 0x800f0831 on several machines.,In Progress,Eric,2025-04-09T21:04:18.090857,Security,Medium
TKT-0034,Missing email from inbox,User cannot locate important client email in inbox.,In Progress,Alice,2025-04-09T21:04:18.091859,Email,Critical
TKT-0035,System slowness during login,Multiple users report slow login times in the morning.,In Progress,Charlie,2025-04-09T21:04:18.093849,Software,Low
TKT-0036,Unable to access intranet,User reports they cannot access the internal bank portal.,In Progress,Alice,2025-04-09T21:04:18.095906,Security,Low
TKT-0037,Printer not working on 3rd floor,Printer on 3rd floor throws paper jam error frequently.,In Progress,Alice,2025-04-09T21:04:18.096899,Software,Low
TKT-0038,Password reset required,User forgot their password and is locked out of their account.,In Progress,Fernando,2025-04-09T21:04:18.098899,Access Management,Medium
TKT-0039,Software update failure,Update failed with error code 0x800f0831 on several machines.,In Progress,Charlie,2025-04-09T21:04:18.100911,Hardware,High
TKT-0040,Mouse and keyboard unresponsive,Mouse and keyboard are not responding after reboot.,In Progress,Paul,2025-04-09T21:04:18.101909,Email,Critical
TKT-0041,Blue screen error on startup,User encounters BSOD during startup with error 0x0000007B.,In Progress,Diana,2025-04-09T21:04:18.104407,User Support,Medium
TKT-0042,Cannot connect to shared drive,Shared drive not visible under network locations.,In Progress,Diana,2025-04-09T21:04:18.105416,Access Management,Medium
TKT-0043,Unable to access intranet,User reports they cannot access the internal bank portal.,In Progress,Eric,2025-04-09T21:04:18.107416,System Performance,Critical
TKT-0044,Software update failure,Update failed with error code 0x800f0831 on several machines.,In Progress,Eric,2025-04-09T21:04:18.108923,Network Issue,Medium
TKT-0045,Cannot connect to shared drive,Shared drive not visible under network locations.,In Progress,Diana,2025-04-09T21:04:18.110931,System Performance,High
TKT-0046,New employee onboarding setup,New employee joining on Monday requires system setup.,Waiting for User,Paul,2025-04-09T21:04:18.112929,Security,High
TKT-0047,System slowness during login,Multiple users report slow login times in the morning.,Waiting for User,Fernando,2025-04-09T21:04:18.114434,Hardware,Critical
TKT-0048,Blue screen error on startup,User encounters BSOD during startup with error 0x0000007B.,Waiting for User,Bob,2025-04-09T21:04:18.116503,Email,Medium
TKT-0049,Laptop overheating frequently,Laptop CPU temperatures exceed 90°C while idle.,Waiting for User,Bob,2025-04-09T21:04:18.117542,Access Management,High
TKT-0050,Password reset required,User forgot their password and is locked out of their account.,Waiting for User,Vivek,2025-04-09T21:04:18.119557,Security,Medium
TKT-0051,Laptop overheating frequently,Laptop CPU temperatures exceed 90°C while idle.,Resolved,Paul,2025-04-09T21:04:18.120511,Monitoring,Low
TKT-0052,Printer not working on 3rd floor,Printer on 3rd floor throws paper jam error frequently.,Resolved,Eric,2025-04-09T21:04:18.122441,Network Issue,Critical
TKT-0053,Mouse and keyboard unresponsive,Mouse and keyboard are not responding after reboot.,Resolved,Eric,2025-04-09T21:04:18.124440,System Performance,Low
TKT-0054,Access request for finance folder,Need read-only access to finance folder for audit purposes.,Resolved,Vivek,2025-04-09T21:04:18.125961,Access Management,High
TKT-0055,Laptop overheating frequently,Laptop CPU temperatures exceed 90°C while idle.,Resolved,Diana,2025-04-09T21:04:18.126950,User Support,High
TKT-0056,Cannot connect to shared drive,Shared drive not visible under network locations.,Resolved,Alice,2025-04-09T21:04:18.128456,Printing,Critical
TKT-0057,Mouse and keyboard unresponsive,Mouse and keyboard are not responding after reboot.,Resolved,Diana,2025-04-09T21:04:18.130465,Software Issue,High
TKT-0058,Laptop overheating frequently,Laptop CPU temperatures exceed 90°C while idle.,Resolved,Diana,2025-04-09T21:04:18.131466,Printing,Critical
TKT-0059,System slowness during login,Multiple users report slow login times in the morning.,Resolved,Conor,2025-04-09T21:04:18.133512,Software,Medium
TKT-0060,Blue screen error on startup,User encounters BSOD during startup with error 0x0000007B.,Resolved,Conor,2025-04-09T21:04:18.135062,Email,Low
TKT-0061,Two-factor authentication setup,Help needed to configure 2FA for remote login.,Resolved,Conor,2025-04-09T21:04:18.136063,Printing,Critical
TKT-0062,Blue screen error on startup,User encounters BSOD during startup with error 0x0000007B.,Resolved,Charlie,2025-04-09T21:04:18.137089,Email,Medium
TKT-0063,Monitor not detecting input,Monitor screen remains black despite power supply.,Resolved,Conor,2025-04-09T21:04:18.139600,User Support,Medium
TKT-0064,Missing email from inbox,User cannot locate important client email in inbox.,Resolved,Diana,2025-04-09T21:04:18.140610,System Performance,Medium
TKT-0065,Software update failure,Update failed with error code 0x800f0831 on several machines.,Resolved,Charlie,2025-04-09T21:04:18.142599,Hardware,Critical
TKT-0066,System slowness during login,Multiple users report slow login times in the morning.,Resolved,Paul,2025-04-09T21:04:18.143609,Hardware,Critical
TKT-0067,File recovery request,Need help recovering accidentally deleted financial files.,Resolved,Bob,2025-04-09T21:04:18.145128,Hardware,Critical
TKT-0068,Install antivirus software,Antivirus software missing on workstation.,Resolved,Diana,2025-04-09T21:04:18.146136,Software,Critical
TKT-0069,Mouse and keyboard unresponsive,Mouse and keyboard are not responding after reboot.,Resolved,Conor,2025-04-09T21:04:18.147134,Printing,Medium
TKT-0070,New employee onboarding setup,New employee joining on Monday requires system setup.,Resolved,Diana,2025-04-09T21:04:18.149644,Hardware,Low
TKT-0071,Outlook not syncing emails,Emails are not syncing across desktop and mobile devices.,Closed,Vivek,2025-04-09T21:04:18.151643,Email,Low
TKT-0072,Unable to access intranet,User reports they cannot access the internal bank portal.,Closed,Charlie,2025-04-09T21:04:18.153643,Email,High
TKT-0073,System slowness during login,Multiple users report slow login times in the morning.,Closed,Eric,2025-04-09T21:04:18.155147,User Support,High
TKT-0074,Cannot connect to shared drive,Shared drive not visible under network locations.,Closed,Fernando,2025-04-09T21:04:18.157153,Email,Low
TKT-0075,Cannot connect to shared drive,Shared drive not visible under network locations.,Closed,Diana,2025-04-09T21:04:18.158659,Software,High
TKT-0076,Laptop overheating frequently,Laptop CPU temperatures exceed 90°C while idle.,Closed,Charlie,2025-04-09T21:04:18.160668,Network Issue,Medium
TKT-0077,Missing email from inbox,User cannot locate important client email in inbox.,Closed,Alice,2025-04-09T21:04:18.161669,System Performance,Medium
TKT-0078,Install antivirus software,Antivirus software missing on workstation.,Closed,Paul,2025-04-09T21:04:18.163668,Hardware,High
TKT-0079,Printer not working on 3rd floor,Printer on 3rd floor throws paper jam error frequently.,Closed,Paul,2025-04-09T21:04:18.165181,User Support,Critical
TKT-0080,Access request for finance folder,Need read-only access to finance folder for audit purposes.,Closed,Conor,2025-04-09T21:04:18.167187,Hardware,High
TKT-0081,Unable to access intranet,User reports they cannot access the internal bank portal.,Closed,Paul,2025-04-09T21:04:18.168691,Email,Low
TKT-0082,Software update failure,Update failed with error code 0x800f0831 on several machines.,Closed,Conor,2025-04-09T21:04:18.169700,Hardware,Medium
TKT-0083,Request for admin privileges,User requests temporary admin access to install software.,Closed,Eric,2025-04-09T21:04:18.171699,User Support,Critical
TKT-0084,VPN connection timeout,VPN disconnects after 5 minutes of use.,Closed,Conor,2025-04-09T21:04:18.172700,Network Issue,Medium
TKT-0085,Install antivirus software,Antivirus software missing on workstation.,Closed,Eric,2025-04-09T21:04:18.174776,Access Management,High
TKT-0086,Mouse and keyboard unresponsive,Mouse and keyboard are not responding after reboot.,Closed,Charlie,2025-04-09T21:04:18.176959,Security,Critical
TKT-0087,Unable to access intranet,User reports they cannot access the internal bank portal.,Closed,Bob,2025-04-09T21:04:18.178465,Access Management,High
TKT-0088,Account locked after failed attempts,User account locked due to multiple failed login attempts.,Closed,Eric,2025-04-09T21:04:18.179483,Security,Low
TKT-0089,Outlook not syncing emails,Emails are not syncing across desktop and mobile devices.,Closed,Conor,2025-04-09T21:04:18.181507,Hardware,Medium
TKT-0090,Mouse and keyboard unresponsive,Mouse and keyboard are not responding after reboot.,Closed,Fernando,2025-04-09T21:04:18.183503,System Performance,Low
TKT-0091,Request for admin privileges,User requests temporary admin access to install software.,Closed,Fernando,2025-04-09T21:04:18.185025,Hardware,Critical
TKT-0092,Mouse and keyboard unresponsive,Mouse and keyboard are not responding after reboot.,Closed,Eric,2025-04-09T21:04:18.187030,System Performance,Critical
TKT-0093,Account locked after failed attempts,User account locked due to multiple failed login attempts.,Closed,Charlie,2025-04-09T21:04:18.188549,System Performance,Critical
TKT-0094,Blue screen error on startup,User encounters BSOD during startup with error 0x0000007B.,Closed,Paul,2025-04-09T21:04:18.190558,Software,Critical
TKT-0095,Password reset required,User forgot their password and is locked out of their account.,Closed,Conor,2025-04-09T21:04:18.192566,Hardware,High
TKT-0096,Unable to access intranet,User reports they cannot access the internal bank portal.,Closed,Vivek,2025-04-09T21:04:18.193566,Hardware,High
TKT-0097,File recovery request,Need help recovering accidentally deleted financial files.,Closed,Alice,2025-04-09T21:04:18.196077,Access Management,Critical
TKT-0098,Outlook not syncing emails,Emails are not syncing across desktop and mobile devices.,Closed,Conor,2025-04-09T21:04:18.197088,Hardware,Critical
TKT-0099,VPN connection timeout,VPN disconnects after 5 minutes of use.,Closed,Vivek,2025-04-09T21:04:18.199615,Software,Low
TKT-0100,Laptop overheating frequently,Laptop CPU temperatures exceed 90°C while idle.,Closed,Vivek,2025-04-09T21:04:18.200625,Printing,Low
TKT-0101,Request for admin privileges,User requests temporary admin access to install software.,Closed,Eric,2025-04-09T21:04:18.202623,Monitoring,Low
TKT-0102,Printer not working on 3rd floor,Printer on 3rd floor throws paper jam error frequently.,Closed,Vivek,2025-04-09T21:04:18.204615,Email,Critical
TKT-0103,Unable to access intranet,User reports they cannot access the internal bank portal.,Closed,Alice,2025-04-09T21:04:18.205750,Monitoring,Critical
TKT-0104,VPN connection timeout,VPN disconnects after 5 minutes of use.,Closed,Conor,2025-04-09T21:04:18.207733,Monitoring,Medium
TKT-0105,Two-factor authentication setup,Help needed to configure 2FA for remote login.,Closed,Bob,2025-04-09T21:04:18.208747,Printing,High
TKT-0106,Two-factor authentication setup,Help needed to configure 2FA for remote login.,Closed,Paul,2025-04-09T21:04:18.210740,System Performance,Critical
TKT-0107,Mouse and keyboard unresponsive,Mouse and keyboard are not responding after reboot.,Closed,Bob,2025-04-09T21:04:18.212733,Email,Medium
TKT-0108,Missing email from inbox,User cannot locate important client email in inbox.,Closed,Conor,2025-04-09T21:04:18.214740,System Performance,High
TKT-0109,Cannot connect to shared drive,Shared drive not visible under network locations.,Closed,Fernando,2025-04-09T21:04:18.215781,Printing,High
TKT-0110,Install antivirus software,Antivirus software missing on workstation.,Closed,Paul,2025-04-09T21:04:18.217780,Network Issue,Medium
TKT-0111,Password reset required,User forgot their password and is locked out of their account.,Closed,Paul,2025-04-09T21:04:18.218793,System Performance,Low
TKT-0112,New employee onboarding setup,New employee joining on Monday requires system setup.,Closed,Alice,2025-04-09T21:04:18.220781,Software Issue,Critical
TKT-0113,Password reset required,User forgot their password and is locked out of their account.,Closed,Eric,2025-04-09T21:04:18.222781,Software Issue,Critical
TKT-0114,System slowness during login,Multiple users report slow login times in the morning.,Closed,Fernando,2025-04-09T21:04:18.223788,Software,Medium
TKT-0115,Outlook not syncing emails,Emails are not syncing across desktop and mobile devices.,Closed,Conor,2025-04-09T21:04:18.225298,Hardware,High
TKT-0116,Access request for finance folder,Need read-only access to finance folder for audit purposes.,Closed,Diana,2025-04-09T21:04:18.227295,Email,Medium
TKT-0117,Account locked after failed attempts,User account locked due to multiple failed login attempts.,Closed,Bob,2025-04-09T21:04:18.228799,System Performance,Medium
TKT-0118,VPN connection timeout,VPN disconnects after 5 minutes of use.,Closed,Conor,2025-04-09T21:04:18.230813,Software,Low
TKT-0119,Missing email from inbox,User cannot locate important client email in inbox.,Closed,Fernando,2025-04-09T21:04:18.232802,Monitoring,Low
TKT-0120,Account locked after failed attempts,User account locked due to multiple failed login attempts.,Closed,Vivek,2025-04-09T21:04:18.235330,Email,Critical
TKT-0121,Software update failure,Update failed with error code 0x800f0831 on several machines.,Closed,Vivek,2025-04-09T21:04:18.237340,User Support,Low
TKT-0122,Monitor not detecting input,Monitor screen remains black despite power supply.,Closed,Charlie,2025-04-09T21:04:18.238846,System Performance,High
TKT-0123,Password reset required,User forgot their password and is locked out of their account.,Closed,Bob,2025-04-09T21:04:18.239851,Email,Low
TKT-0124,File recovery request,Need help recovering accidentally deleted financial files.,Closed,Diana,2025-04-09T21:04:18.241860,System Performance,High
TKT-0125,Unable to access intranet,User reports they cannot access the internal bank portal.,Closed,Bob,2025-04-09T21:04:18.243856,Access Management,High
TKT-0126,Access request for finance folder,Need read-only access to finance folder for audit purposes.,Closed,Bob,2025-04-09T21:04:18.245367,Access Management,High
TKT-0127,New employee onboarding setup,New employee joining on Monday requires system setup.,Closed,Bob,2025-04-09T21:04:18.247372,Email,High
TKT-0128,Laptop overheating frequently,Laptop CPU temperatures exceed 90°C while idle.,Closed,Conor,2025-04-09T21:04:18.248881,Hardware,High
TKT-0129,Access request for finance folder,Need read-only access to finance folder for audit purposes.,Closed,Conor,2025-04-09T21:04:18.250891,Network Issue,Medium
TKT-0130,New employee onboarding setup,New employee joining on Monday requires system setup.,Closed,Conor,2025-04-09T21:04:18.251892,User Support,High
TKT-0131,Monitor not detecting input,Monitor screen remains black despite power supply.,Closed,Charlie,2025-04-09T21:04:18.252891,User Support,Low
TKT-0132,New employee onboarding setup,New employee joining on Monday requires system setup.,Closed,Charlie,2025-04-09T21:04:18.255411,User Support,Medium
TKT-0133,File recovery request,Need help recovering accidentally deleted financial files.,Closed,Diana,2025-04-09T21:04:18.257412,Security,Medium
TKT-0134,Monitor not detecting input,Monitor screen remains black despite power supply.,Closed,Paul,2025-04-09T21:04:18.258922,Software,High
TKT-0135,Missing email from inbox,User cannot locate important client email in inbox.,Closed,Paul,2025-04-09T21:04:18.261010,Email,Medium
TKT-0136,Cannot connect to shared drive,Shared drive not visible under network locations.,Closed,Bob,2025-04-09T21:04:18.261928,Software,Critical
TKT-0137,Mouse and keyboard unresponsive,Mouse and keyboard are not responding after reboot.,Closed,Diana,2025-04-09T21:04:18.263014,Hardware,Low
TKT-0138,System slowness during login,Multiple users report slow login times in the morning.,Closed,Diana,2025-04-09T21:04:18.265685,Software Issue,Medium
TKT-0139,Cannot connect to shared drive,Shared drive not visible under network locations.,Closed,Diana,2025-04-09T21:04:18.267700,Network Issue,Medium
TKT-0140,Printer not working on 3rd floor,Printer on 3rd floor throws paper jam error frequently.,Closed,Paul,2025-04-09T21:04:18.268692,Email,High
TKT-0141,Account locked after failed attempts,User account locked due to multiple failed login attempts.,Closed,Diana,2025-04-09T21:04:18.270694,Network Issue,Low
TKT-0142,Mouse and keyboard unresponsive,Mouse and keyboard are not responding after reboot.,Closed,Eric,2025-04-09T21:04:18.272613,Hardware,High
TKT-0143,Mouse and keyboard unresponsive,Mouse and keyboard are not responding after reboot.,Closed,Bob,2025-04-09T21:04:18.274621,Software Issue,Medium
TKT-0144,Missing email from inbox,User cannot locate important client email in inbox.,Closed,Bob,2025-04-09T21:04:18.276145,User Support,High
TKT-0145,Printer not working on 3rd floor,Printer on 3rd floor throws paper jam error frequently.,Closed,Bob,2025-04-09T21:04:18.277151,User Support,Low
TKT-0146,New employee onboarding setup,New employee joining on Monday requires system setup.,Closed,Conor,2025-04-09T21:04:18.279678,Software,High
TKT-0147,Two-factor authentication setup,Help needed to configure 2FA for remote login.,Closed,Bob,2025-04-09T21:04:18.281693,Email,Medium
TKT-0148,System slowness during login,Multiple users report slow login times in the morning.,Closed,Conor,2025-04-09T21:04:18.283693,Security,Low
TKT-0149,Two-factor authentication setup,Help needed to configure 2FA for remote login.,Closed,Bob,2025-04-09T21:04:18.286224,User Support,High
TKT-0150,Cannot connect to shared drive,Shared drive not visible under network locations.,Closed,Alice,2025-04-09T21:04:18.287212,Printing,Medium
TKT-0151,Request for admin privileges,User requests temporary admin access to install software.,Closed,Bob,2025-04-09T21:04:18.290725,Hardware,Low
TKT-0152,VPN connection timeout,VPN disconnects after 5 minutes of use.,Closed,Eric,2025-04-09T21:04:18.292724,Printing,Critical
TKT-0153,System slowness during login,Multiple users report slow login times in the morning.,Closed,Alice,2025-04-09T21:04:18.294723,Monitoring,High
TKT-0154,Outlook not syncing emails,Emails are not syncing across desktop and mobile devices.,Closed,Eric,2025-04-09T21:04:18.296234,Software,High
TKT-0155,Two-factor authentication setup,Help needed to configure 2FA for remote login.,Closed,Bob,2025-04-09T21:04:18.298739,User Support,High
TKT-0156,System slowness during login,Multiple users report slow login times in the morning.,Closed,Eric,2025-04-09T21:04:18.300748,System Performance,Low
TKT-0157,Missing email from inbox,User cannot locate important client email in inbox.,Closed,Alice,2025-04-09T21:04:18.301748,Software,Medium
TKT-0158,Password reset required,User forgot their password and is locked out of their account.,Closed,Diana,2025-04-09T21:04:18.303747,Access Management,Low
TKT-0159,Cannot connect to shared drive,Shared drive not visible under network locations.,Closed,Paul,2025-04-09T21:04:18.305893,System Performance,High
TKT-0160,File recovery request,Need help recovering accidentally deleted financial files.,Closed,Eric,2025-04-09T21:04:18.307893,Access Management,Low
TKT-0161,Mouse and keyboard unresponsive,Mouse and keyboard are not responding after reboot.,Closed,Charlie,2025-04-09T21:04:18.309893,System Performance,Medium
TKT-0162,Install antivirus software,Antivirus software missing on workstation.,Closed,Eric,2025-04-09T21:04:18.310894,User Support,Critical
TKT-0163,Mouse and keyboard unresponsive,Mouse and keyboard are not responding after reboot.,Closed,Charlie,2025-04-09T21:04:18.312893,Printing,Medium
TKT-0164,VPN connection timeout,VPN disconnects after 5 minutes of use.,Closed,Alice,2025-04-09T21:04:18.315412,Security,Low
TKT-0165,Unable to access intranet,User reports they cannot access the internal bank portal.,Closed,Conor,2025-04-09T21:04:18.316414,Software,Low
TKT-0166,VPN connection timeout,VPN disconnects after 5 minutes of use.,Closed,Fernando,2025-04-09T21:04:18.318922,Software,Low
TKT-0167,Account locked after failed attempts,User account locked due to multiple failed login attempts.,Closed,Charlie,2025-04-09T21:04:18.319933,Monitoring,Medium
TKT-0168,Request for admin privileges,User requests temporary admin access to install software.,Closed,Conor,2025-04-09T21:04:18.321932,System Performance,Low
TKT-0169,Laptop overheating frequently,Laptop CPU temperatures exceed 90°C while idle.,Closed,Eric,2025-04-09T21:04:18.324442,Access Management,Critical
TKT-0170,Cannot connect to shared drive,Shared drive not visible under network locations.,Closed,Paul,2025-04-09T21:04:18.325452,Software Issue,Medium
TKT-0171,Password reset required,User forgot their password and is locked out of their account.,Closed,Vivek,2025-04-09T21:04:18.327451,User Support,Medium
TKT-0172,Missing email from inbox,User cannot locate important client email in inbox.,Closed,Charlie,2025-04-09T21:04:18.329452,System Performance,Critical
TKT-0173,Missing email from inbox,User cannot locate important client email in inbox.,Closed,Diana,2025-04-09T21:04:18.331452,Software,Low
TKT-0174,New employee onboarding setup,New employee joining on Monday requires system setup.,Closed,Conor,2025-04-09T21:04:18.333452,Network Issue,Medium
TKT-0175,Request for admin privileges,User requests temporary admin access to install software.,Closed,Eric,2025-04-09T21:04:18.334964,Security,Low
TKT-0176,Mouse and keyboard unresponsive,Mouse and keyboard are not responding after reboot.,Closed,Paul,2025-04-09T21:04:18.336969,Monitoring,Critical
TKT-0177,Unable to access intranet,User reports they cannot access the internal bank portal.,Closed,Conor,2025-04-09T21:04:18.338478,User Support,Critical
TKT-0178,Install antivirus software,Antivirus software missing on workstation.,Closed,Diana,2025-04-09T21:04:18.340488,Software,High
TKT-0179,Laptop overheating frequently,Laptop CPU temperatures exceed 90°C while idle.,Closed,Eric,2025-04-09T21:04:18.342489,Network Issue,Medium
TKT-0180,Cannot connect to shared drive,Shared drive not visible under network locations.,Closed,Bob,2025-04-09T21:04:18.343487,Software,Critical
TKT-0181,Monitor not detecting input,Monitor screen remains black despite power supply.,Closed,Paul,2025-04-09T21:04:18.346006,Monitoring,High
TKT-0182,Blue screen error on startup,User encounters BSOD during startup with error 0x0000007B.,Closed,Conor,2025-04-09T21:04:18.347007,System Performance,Low
TKT-0183,Cannot connect to shared drive,Shared drive not visible under network locations.,Closed,Alice,2025-04-09T21:04:18.349526,Software,Low
TKT-0184,Request for admin privileges,User requests temporary admin access to install software.,Closed,Bob,2025-04-09T21:04:18.351526,Software Issue,High
TKT-0185,Printer not working on 3rd floor,Printer on 3rd floor throws paper jam error frequently.,Closed,Conor,2025-04-09T21:04:18.353526,Printing,High
TKT-0186,Software update failure,Update failed with error code 0x800f0831 on several machines.,Closed,Bob,2025-04-09T21:04:18.355039,Software,Critical
TKT-0187,Cannot connect to shared drive,Shared drive not visible under network locations.,Closed,Alice,2025-04-09T21:04:18.357045,User Support,Critical
TKT-0188,New employee onboarding setup,New employee joining on Monday requires system setup.,Closed,Conor,2025-04-09T21:04:18.358554,Software Issue,High
TKT-0189,Cannot connect to shared drive,Shared drive not visible under network locations.,Closed,Conor,2025-04-09T21:04:18.360564,System Performance,Medium
TKT-0190,File recovery request,Need help recovering accidentally deleted financial files.,Closed,Diana,2025-04-09T21:04:18.362565,Software,Critical
TKT-0191,Mouse and keyboard unresponsive,Mouse and keyboard are not responding after reboot.,Closed,Diana,2025-04-09T21:04:18.364564,Access Management,Medium
TKT-0192,New employee onboarding setup,New employee joining on Monday requires system setup.,Closed,Alice,2025-04-09T21:04:18.366082,Email,Low
TKT-0193,Two-factor authentication setup,Help needed to configure 2FA for remote login.,Closed,Bob,2025-04-09T21:04:18.368591,Security,High
TKT-0194,Printer not working on 3rd floor,Printer on 3rd floor throws paper jam error frequently.,Closed,Fernando,2025-04-09T21:04:18.370601,Printing,High
TKT-0195,Account locked after failed attempts,User account locked due to multiple failed login attempts.,Closed,Eric,2025-04-09T21:04:18.371601,Access Management,Critical
TKT-0196,Install antivirus software,Antivirus software missing on workstation.,Closed,Fernando,2025-04-09T21:04:18.373601,Printing,Medium
TKT-0197,Printer not working on 3rd floor,Printer on 3rd floor throws paper jam error frequently.,Closed,Conor,2025-04-09T21:04:18.376119,System Performance,Low
TKT-0198,Monitor not detecting input,Monitor screen remains black despite power supply.,Closed,Paul,2025-04-09T21:04:18.377119,System Performance,Critical
TKT-0199,Cannot connect to shared drive,Shared drive not visible under network locations.,Closed,Vivek,2025-04-09T21:04:18.379639,Network Issue,Medium
TKT-0200,Printer not working on 3rd floor,Printer on 3rd floor throws paper jam error frequently.,Closed,Vivek,2025-04-09T21:04:18.381649,Software Issue,High
TKT-0201,Printer not working on 3rd floor,Printer on 3rd floor throws paper jam error frequently.,Closed,Charlie,2025-04-09T21:04:18.383649,Access Management,Low
TKT-0202,Unable to access intranet,User reports they cannot access the internal bank portal.,Closed,Charlie,2025-04-09T21:04:18.385161,Email,Low
TKT-0203,Printer not working on 3rd floor,Printer on 3rd floor throws paper jam error frequently.,Closed,Diana,2025-04-09T21:04:18.387166,Network Issue,High
TKT-0204,New employee onboarding setup,New employee joining on Monday requires system setup.,Closed,Diana,2025-04-09T21:04:18.389686,Email,Medium
TKT-0205,Cannot connect to shared drive,Shared drive not visible under network locations.,Closed,Vivek,2025-04-09T21:04:18.390686,Printing,Medium
TKT-0206,Account locked after failed attempts,User account locked due to multiple failed login attempts.,Closed,Vivek,2025-04-09T21:04:18.392687,Software,High
TKT-0207,File recovery request,Need help recovering accidentally deleted financial files.,Closed,Alice,2025-04-09T21:04:18.395199,System Performance,Medium
TKT-0208,Software update failure,Update failed with error code 0x800f0831 on several machines.,Closed,Vivek,2025-04-09T21:04:18.397204,Software,Critical
TKT-0209,Mouse and keyboard unresponsive,Mouse and keyboard are not responding after reboot.,Closed,Charlie,2025-04-09T21:04:18.398794,Monitoring,High
TKT-0210,Account locked after failed attempts,User account locked due to multiple failed login attempts.,Closed,Paul,2025-04-09T21:04:18.400875,Software Issue,Low
